Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,0,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,8/11/2018,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,0,Arthur A. Levine Books,Hardcover,341,1999,1998,,8/11/2018,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,0439554934,9780439554930,0,Scholastic Inc,Hardcover,309,2003,1997,,8/11/2018,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,0804139024,9780804139021,0,Crown Publishers,Hardcover,369,2014,2011,,8/11/2018,,,read,,,,1,0
5306,Travels with Charley: In Search of America,John Steinbeck,"Steinbeck, John",,0142000701,9780142000700,0,Penguin,Paperback,214,2002,1961,,8/11/2018,,,read,,,,1,0
16130,Alexander Hamilton,Ron Chernow,"Chernow, Ron",,,,0,Penguin Books,Paperback,818,2005,2004,,8/11/2018,,,read,,,,1,0
16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"Brown, Daniel James",,067002581X,9780670025817,0,Viking,Hardcover,404,2013,2013,,8/11/2018,,,read,,,,1,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,,,5,Scribner,Hardcover,472,2010,2010,,8/11/2018,,,read,,,,1,0
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,,,4,Scribner,Hardcover,592,2016,2016,,8/11/2018,,,read,,,,1,0
1301788,Ancient Rome: The Rise and Fall of An Empire,Simon Baker,"Baker, Simon",,1846072840,9781846072840,3,BBC Physical Audio,Paperback,447,2007,2006,,8/11/2018,,,read,,,,1,0
